_id,Periode,Wilayah,Kecamatan,Nama Puskesmas,Poli,Baru,Lama,Total Kunjungan
66,Desember,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,GIGI,36,190,226
67,Desember,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,INSTALASI GAWAT DARURAT,0,2,2
68,Desember,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,KIA,165,718,883
69,Desember,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,LANSIA,25,533,558
70,Desember,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,PSIKOLOGI,4,4,8
71,Desember,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,UMUM,322,1567,1889
72,Desember,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,BATRA,2,40,42
73,Desember,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,FARMASI,2,1,3
74,Desember,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,GIGI,57,393,450
75,Desember,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,GIZI,2,3,5
76,Desember,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,INSTALASI GAWAT DARURAT,27,29,56
77,Desember,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,KIA,184,775,959
78,Desember,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,LABORATORIUM,11,8,19
79,Desember,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,LANSIA,43,1301,1344
80,Desember,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,PARU,0,42,42
81,Desember,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,Poli PCR-SWAB,3,6,9
82,Desember,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,PSIKOLOGI,6,23,29
83,Desember,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,RAWAT INAP,5,54,59
84,Desember,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,UMUM,477,1880,2357
85,Desember,Surabaya Utara,Krembangan,Puskesmas Dupak,BATRA,1,34,35
86,Desember,Surabaya Utara,Krembangan,Puskesmas Dupak,GIGI,21,276,297
87,Desember,Surabaya Utara,Krembangan,Puskesmas Dupak,GIZI,0,11,11
88,Desember,Surabaya Utara,Krembangan,Puskesmas Dupak,INSTALASI GAWAT DARURAT,18,43,61
89,Desember,Surabaya Utara,Krembangan,Puskesmas Dupak,KIA,110,785,895
90,Desember,Surabaya Utara,Krembangan,Puskesmas Dupak,LANSIA,5,490,495
91,Desember,Surabaya Utara,Krembangan,Puskesmas Dupak,PSIKOLOGI,3,7,10
92,Desember,Surabaya Utara,Krembangan,Puskesmas Dupak,RAWAT INAP,9,11,20
93,Desember,Surabaya Utara,Krembangan,Puskesmas Dupak,UMUM,143,1754,1897
94,Desember,Surabaya Timur,Tambaksari,Puskesmas Gading,BATRA,3,28,31
95,Desember,Surabaya Timur,Tambaksari,Puskesmas Gading,GIGI,57,345,402
96,Desember,Surabaya Timur,Tambaksari,Puskesmas Gading,GIZI,65,93,158
97,Desember,Surabaya Timur,Tambaksari,Puskesmas Gading,KIA,187,1089,1276
98,Desember,Surabaya Timur,Tambaksari,Puskesmas Gading,LANSIA,30,656,686
