_id,Periode,Wilayah,Kecamatan,Nama Puskesmas,Poli,Baru,Lama,Total Kunjungan
1,Juni,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,BATRA,0,11,11
2,Juni,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,GIGI,51,253,304
3,Juni,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,GIZI,0,2,2
4,Juni,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,INSTALASI GAWAT DARURAT,,,0
5,Juni,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,KIA,170,511,681
6,Juni,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,LABORATORIUM,,,0
7,Juni,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,LANSIA,,,0
8,Juni,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,MATA,,,0
9,Juni,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,PKPR,,,0
10,Juni,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,Poli PCR-SWAB,,,0
11,Juni,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,PSIKOLOGI,1,7,8
12,Juni,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,PTRM,,,0
13,Juni,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,RAWAT INAP,,,0
14,Juni,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,SANITASI,,,0
15,Juni,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,STD,,,0
16,Juni,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,TBC/PARU,,,0
17,Juni,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,UMUM,183,1651,1834
18,Juni,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,VCT,,,0
19,Juni,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,BATRA,3,27,30
20,Juni,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,GIGI,31,150,181
21,Juni,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,GIZI,1,8,9
22,Juni,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,INSTALASI GAWAT DARURAT,,,0
23,Juni,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,KIA,52,221,273
24,Juni,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,LABORATORIUM,,,0
25,Juni,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,LANSIA,7,233,240
26,Juni,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,MATA,,,0
27,Juni,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,PKPR,,,0
28,Juni,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,Poli PCR-SWAB,,,0
29,Juni,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,PSIKOLOGI,4,8,12
30,Juni,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,PTRM,,,0
31,Juni,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,RAWAT INAP,,,0
32,Juni,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,SANITASI,,,0
33,Juni,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,STD,,,0
34,Juni,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,TBC/PARU,,,0
35,Juni,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,UMUM,151,578,729
36,Juni,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,VCT,,,0
37,Juni,Surabaya Barat,Tandes,Puskesmas Balongsari,BATRA,4,39,43
38,Juni,Surabaya Barat,Tandes,Puskesmas Balongsari,GIGI,45,315,360
39,Juni,Surabaya Barat,Tandes,Puskesmas Balongsari,GIZI,0,4,4
40,Juni,Surabaya Barat,Tandes,Puskesmas Balongsari,INSTALASI GAWAT DARURAT,8,1,9
41,Juni,Surabaya Barat,Tandes,Puskesmas Balongsari,KIA,133,520,653
42,Juni,Surabaya Barat,Tandes,Puskesmas Balongsari,LABORATORIUM,1,14,15
43,Juni,Surabaya Barat,Tandes,Puskesmas Balongsari,LANSIA,8,464,472
44,Juni,Surabaya Barat,Tandes,Puskesmas Balongsari,MATA,,,0
45,Juni,Surabaya Barat,Tandes,Puskesmas Balongsari,PKPR,,,0
46,Juni,Surabaya Barat,Tandes,Puskesmas Balongsari,Poli PCR-SWAB,,,0
47,Juni,Surabaya Barat,Tandes,Puskesmas Balongsari,PSIKOLOGI,0,7,7
48,Juni,Surabaya Barat,Tandes,Puskesmas Balongsari,PTRM,,,0
49,Juni,Surabaya Barat,Tandes,Puskesmas Balongsari,RAWAT INAP,2,1,3
50,Juni,Surabaya Barat,Tandes,Puskesmas Balongsari,SANITASI,,,0
51,Juni,Surabaya Barat,Tandes,Puskesmas Balongsari,STD,,,0
52,Juni,Surabaya Barat,Tandes,Puskesmas Balongsari,TBC/PARU,0,87,87
53,Juni,Surabaya Barat,Tandes,Puskesmas Balongsari,UMUM,354,1016,1370
54,Juni,Surabaya Barat,Tandes,Puskesmas Balongsari,VCT,,,0
55,Juni,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,BATRA,2,26,28
56,Juni,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,GIGI,25,227,252
57,Juni,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,GIZI,4,9,13
58,Juni,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,INSTALASI GAWAT DARURAT,,,0
59,Juni,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,KIA,78,390,468
60,Juni,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,LABORATORIUM,,,0
61,Juni,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,LANSIA,8,197,205
62,Juni,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,MATA,,,0
63,Juni,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,PKPR,,,0
64,Juni,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,Poli PCR-SWAB,,,0
65,Juni,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,PSIKOLOGI,4,6,10
66,Juni,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,PTRM,,,0
67,Juni,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,RAWAT INAP,,,0
68,Juni,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,SANITASI,,,0
69,Juni,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,STD,,,0
70,Juni,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,TBC/PARU,,,0
71,Juni,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,UMUM,132,936,1068
72,Juni,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,VCT,,,0
73,Juni,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,BATRA,0,4,4
74,Juni,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,GIGI,52,287,339
75,Juni,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,GIZI,,,0
76,Juni,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,INSTALASI GAWAT DARURAT,9,10,19
77,Juni,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,KIA,169,884,1053
78,Juni,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,LABORATORIUM,,,0
79,Juni,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,LANSIA,,,0
80,Juni,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,MATA,,,0
81,Juni,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,PKPR,54,54,108
82,Juni,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,Poli PCR-SWAB,,,0
83,Juni,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,PSIKOLOGI,0,11,11
