_id,Periode,Wilayah,Kecamatan,Nama Puskesmas,Poli,Baru,Lama,Total Kunjungan
35,Januari,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,UMUM,216,804,1020
36,Januari,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,VCT,,,0
37,Januari,Surabaya Barat,Tandes,Puskesmas Balongsari,BATRA,2,22,24
38,Januari,Surabaya Barat,Tandes,Puskesmas Balongsari,GIGI,33,366,399
39,Januari,Surabaya Barat,Tandes,Puskesmas Balongsari,GIZI,1,8,9
40,Januari,Surabaya Barat,Tandes,Puskesmas Balongsari,INSTALASI GAWAT DARURAT,7,3,10
41,Januari,Surabaya Barat,Tandes,Puskesmas Balongsari,KIA,140,556,696
42,Januari,Surabaya Barat,Tandes,Puskesmas Balongsari,LABORATORIUM,1,13,14
43,Januari,Surabaya Barat,Tandes,Puskesmas Balongsari,LANSIA,6,495,501
44,Januari,Surabaya Barat,Tandes,Puskesmas Balongsari,MATA,,,0
45,Januari,Surabaya Barat,Tandes,Puskesmas Balongsari,PKPR,,,0
46,Januari,Surabaya Barat,Tandes,Puskesmas Balongsari,Poli PCR-SWAB,,,0
47,Januari,Surabaya Barat,Tandes,Puskesmas Balongsari,PSIKOLOGI,11,29,40
48,Januari,Surabaya Barat,Tandes,Puskesmas Balongsari,PTRM,,,0
49,Januari,Surabaya Barat,Tandes,Puskesmas Balongsari,RAWAT INAP,1,6,7
50,Januari,Surabaya Barat,Tandes,Puskesmas Balongsari,SANITASI,0,1,1
51,Januari,Surabaya Barat,Tandes,Puskesmas Balongsari,STD,,,0
52,Januari,Surabaya Barat,Tandes,Puskesmas Balongsari,TBC/PARU,2,99,101
53,Januari,Surabaya Barat,Tandes,Puskesmas Balongsari,UMUM,255,1267,1522
54,Januari,Surabaya Barat,Tandes,Puskesmas Balongsari,VCT,,,0
55,Januari,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,BATRA,0,11,11
56,Januari,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,GIGI,28,250,278
57,Januari,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,GIZI,5,14,19
58,Januari,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,INSTALASI GAWAT DARURAT,,,0
59,Januari,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,KIA,70,429,499
60,Januari,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,LABORATORIUM,,,0
61,Januari,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,LANSIA,4,182,186
62,Januari,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,MATA,,,0
63,Januari,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,PKPR,,,0
64,Januari,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,Poli PCR-SWAB,,,0
65,Januari,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,PSIKOLOGI,7,24,31
66,Januari,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,PTRM,,,0
67,Januari,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,RAWAT INAP,,,0
68,Januari,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,SANITASI,,,0
69,Januari,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,STD,,,0
70,Januari,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,TBC/PARU,,,0
71,Januari,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,UMUM,132,1073,1205
72,Januari,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,VCT,,,0
73,Januari,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,BATRA,1,8,9
74,Januari,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,GIGI,51,364,415
75,Januari,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,GIZI,,,0
76,Januari,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,INSTALASI GAWAT DARURAT,3,6,9
77,Januari,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,KIA,88,441,529
