_id,Periode,Wilayah,Kecamatan,Nama Puskesmas,Poli,Baru,Lama,Total
69,November,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,PSIKOLOGI,28,21,49
70,November,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,RAWAT INAP,1,0,1
71,November,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,SANITASI,1,1,2
72,November,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,UMUM,226,1560,1786
73,November,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,ANAK,127,567,694
74,November,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,BATRA,0,34,34
75,November,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,GIGI,78,548,626
76,November,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,GIZI,0,1,1
77,November,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,INSTALASI GAWAT DARURAT,58,75,133
78,November,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,KIA,69,363,432
79,November,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,LANSIA,55,894,949
80,November,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,PARU,3,48,51
81,November,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,PKPR,44,26,70
82,November,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,PSIKOLOGI,2,23,25
83,November,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,RAWAT INAP,2,46,48
84,November,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,UMUM,508,2355,2863
85,November,Surabaya Utara,Krembangan,Puskesmas Dupak,BATRA,5,50,55
86,November,Surabaya Utara,Krembangan,Puskesmas Dupak,GIGI,30,421,451
87,November,Surabaya Utara,Krembangan,Puskesmas Dupak,GIZI,2,35,37
88,November,Surabaya Utara,Krembangan,Puskesmas Dupak,INSTALASI GAWAT DARURAT,27,60,87
89,November,Surabaya Utara,Krembangan,Puskesmas Dupak,KIA,128,783,911
90,November,Surabaya Utara,Krembangan,Puskesmas Dupak,LANSIA,12,528,540
91,November,Surabaya Utara,Krembangan,Puskesmas Dupak,PSIKOLOGI,3,23,26
92,November,Surabaya Utara,Krembangan,Puskesmas Dupak,RAWAT INAP,19,37,56
93,November,Surabaya Utara,Krembangan,Puskesmas Dupak,UMUM,173,1928,2101
94,November,Surabaya Timur,Tambaksari,Puskesmas Gading,ANAK,146,663,809
95,November,Surabaya Timur,Tambaksari,Puskesmas Gading,BATRA,4,100,104
96,November,Surabaya Timur,Tambaksari,Puskesmas Gading,DEGENARATIF,0,149,149
97,November,Surabaya Timur,Tambaksari,Puskesmas Gading,GIGI,68,638,706
98,November,Surabaya Timur,Tambaksari,Puskesmas Gading,GIZI,67,111,178
99,November,Surabaya Timur,Tambaksari,Puskesmas Gading,KIA,56,518,574
100,November,Surabaya Timur,Tambaksari,Puskesmas Gading,LANSIA,45,953,998
101,November,Surabaya Timur,Tambaksari,Puskesmas Gading,PARU,1,151,152
102,November,Surabaya Timur,Tambaksari,Puskesmas Gading,PSIKOLOGI,2,27,29
103,November,Surabaya Timur,Tambaksari,Puskesmas Gading,UMUM,326,3213,3539
104,November,Surabaya Timur,Tambaksari,Puskesmas Gading,VAKSIN D1,0,4,4
105,November,Surabaya Selatan,Gayungan,Puskesmas Gayungan,BATRA,5,135,140
106,November,Surabaya Selatan,Gayungan,Puskesmas Gayungan,GIGI,41,766,807
107,November,Surabaya Selatan,Gayungan,Puskesmas Gayungan,GIZI,2,44,46
108,November,Surabaya Selatan,Gayungan,Puskesmas Gayungan,INSTALASI GAWAT DARURAT,1,0,1
109,November,Surabaya Selatan,Gayungan,Puskesmas Gayungan,KIA,98,732,830
110,November,Surabaya Selatan,Gayungan,Puskesmas Gayungan,LANSIA,24,920,944
111,November,Surabaya Selatan,Gayungan,Puskesmas Gayungan,PSIKOLOGI,3,43,46
112,November,Surabaya Selatan,Gayungan,Puskesmas Gayungan,UMUM,326,2096,2422
113,November,Surabaya Pusat,Bubutan,Puskesmas Gundih,BATRA,0,15,15
114,November,Surabaya Pusat,Bubutan,Puskesmas Gundih,GIGI,3,344,347
115,November,Surabaya Pusat,Bubutan,Puskesmas Gundih,GIZI,1,5,6
116,November,Surabaya Pusat,Bubutan,Puskesmas Gundih,KIA,66,742,808
117,November,Surabaya Pusat,Bubutan,Puskesmas Gundih,LANSIA,2,536,538
118,November,Surabaya Pusat,Bubutan,Puskesmas Gundih,PARU,1,96,97
119,November,Surabaya Pusat,Bubutan,Puskesmas Gundih,PSIKOLOGI,6,24,30
120,November,Surabaya Pusat,Bubutan,Puskesmas Gundih,UMUM,43,1848,1891
121,November,Surabaya Timur,Gunung Anyar,Puskesmas Gunung Anyar,BATRA,5,62,67
122,November,Surabaya Timur,Gunung Anyar,Puskesmas Gunung Anyar,GIGI,78,391,469
123,November,Surabaya Timur,Gunung Anyar,Puskesmas Gunung Anyar,GIZI,15,14,29
124,November,Surabaya Timur,Gunung Anyar,Puskesmas Gunung Anyar,INSTALASI GAWAT DARURAT,21,12,33
125,November,Surabaya Timur,Gunung Anyar,Puskesmas Gunung Anyar,KIA,177,675,852
126,November,Surabaya Timur,Gunung Anyar,Puskesmas Gunung Anyar,LANSIA,28,707,735
127,November,Surabaya Timur,Gunung Anyar,Puskesmas Gunung Anyar,PKPR,19,25,44
128,November,Surabaya Timur,Gunung Anyar,Puskesmas Gunung Anyar,PSIKOLOGI,32,25,57
129,November,Surabaya Timur,Gunung Anyar,Puskesmas Gunung Anyar,RAWAT INAP,0,1,1
130,November,Surabaya Timur,Gunung Anyar,Puskesmas Gunung Anyar,SANITASI,0,1,1
131,November,Surabaya Timur,Gunung Anyar,Puskesmas Gunung Anyar,UMUM,427,1929,2356
132,November,Surabaya Selatan,Wonokromo,Puskesmas Jagir,BATRA,1,46,47
133,November,Surabaya Selatan,Wonokromo,Puskesmas Jagir,GIGI,163,991,1154
134,November,Surabaya Selatan,Wonokromo,Puskesmas Jagir,GIZI,0,24,24
135,November,Surabaya Selatan,Wonokromo,Puskesmas Jagir,INSTALASI GAWAT DARURAT,50,70,120
136,November,Surabaya Selatan,Wonokromo,Puskesmas Jagir,KIA,243,1251,1494
137,November,Surabaya Selatan,Wonokromo,Puskesmas Jagir,LANSIA,42,1432,1474
138,November,Surabaya Selatan,Wonokromo,Puskesmas Jagir,PSIKOLOGI,7,28,35
139,November,Surabaya Selatan,Wonokromo,Puskesmas Jagir,RAWAT INAP,21,44,65
