_id,Periode,Wilayah,Kecamatan,Nama Puskesmas,Poli,Baru,Lama,Total Kunjungan
1,Mei,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,BATRA,7,39,46
2,Mei,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,GIGI,90,456,546
3,Mei,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,GIZI,2,6,8
4,Mei,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,KIA,254,741,995
5,Mei,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,LANSIA,11,413,424
6,Mei,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,PSIKOLOGI,1,12,13
7,Mei,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,SANITASI,0,1,1
8,Mei,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,UMUM,308,1956,2264
9,Mei,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,BATRA,1,27,28
10,Mei,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,GIGI,60,322,382
11,Mei,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,GIZI,4,6,10
12,Mei,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,KIA,87,336,423
13,Mei,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,LANSIA,26,342,368
14,Mei,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,PSIKOLOGI,5,18,23
15,Mei,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,SANITASI,5,20,25
16,Mei,Surabaya Barat,Wiyung,Puskesmas Balas Klumprik,UMUM,157,786,943
17,Mei,Surabaya Barat,Tandes,Puskesmas Balongsari,BATRA,0,21,21
18,Mei,Surabaya Barat,Tandes,Puskesmas Balongsari,GIGI,47,454,501
19,Mei,Surabaya Barat,Tandes,Puskesmas Balongsari,GIZI,1,1,2
20,Mei,Surabaya Barat,Tandes,Puskesmas Balongsari,INSTALASI GAWAT DARURAT,5,5,10
21,Mei,Surabaya Barat,Tandes,Puskesmas Balongsari,KIA,146,714,860
22,Mei,Surabaya Barat,Tandes,Puskesmas Balongsari,LANSIA,15,572,587
23,Mei,Surabaya Barat,Tandes,Puskesmas Balongsari,P2M,5,66,71
24,Mei,Surabaya Barat,Tandes,Puskesmas Balongsari,PALIATIF,19,75,94
25,Mei,Surabaya Barat,Tandes,Puskesmas Balongsari,PSIKOLOGI,1,15,16
26,Mei,Surabaya Barat,Tandes,Puskesmas Balongsari,RAWAT INAP,4,8,12
27,Mei,Surabaya Barat,Tandes,Puskesmas Balongsari,UMUM,236,1424,1660
28,Mei,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,BATRA,3,33,36
29,Mei,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,GIGI,59,327,386
30,Mei,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,GIZI,32,51,83
31,Mei,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,HAMIL,7,82,89
32,Mei,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,KIA,83,421,504
33,Mei,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,LANSIA,15,273,288
34,Mei,Surabaya Selatan,Lakarsantri,Puskesmas Bangkingan,PSIKOLOGI,31,36,67
35,Mei,Surabaya Selatan,Lakarsantri,Puskesmas Bangkingan,UMUM,94,1099,1193
36,Mei,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,BATRA,0,16,16
