_id,Periode,Wilayah,Kecamatan,Nama Puskesmas,Poli,Baru,Lama,Total Kunjungan
1,April,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,BATRA,2,31,33
2,April,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,GIGI,55,227,282
3,April,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,GIZI,0,2,2
4,April,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,KIA,121,477,598
5,April,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,LANSIA,6,229,235
6,April,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,PSIKOLOGI,0,7,7
7,April,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,SANITASI,1,4,5
8,April,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,UMUM,144,1248,1392
9,April,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,BATRA,0,21,21
10,April,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,GIGI,38,189,227
11,April,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,GIZI,0,5,5
12,April,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,KIA,54,227,281
13,April,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,LANSIA,11,240,251
14,April,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,PSIKOLOGI,5,15,20
15,April,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,UMUM,111,636,747
16,April,Surabaya Barat,Tandes,Puskesmas Balongsari,BATRA,3,12,15
17,April,Surabaya Barat,Tandes,Puskesmas Balongsari,GIGI,33,286,319
18,April,Surabaya Barat,Tandes,Puskesmas Balongsari,INSTALASI GAWAT DARURAT,11,3,14
19,April,Surabaya Barat,Tandes,Puskesmas Balongsari,KIA,108,443,551
20,April,Surabaya Barat,Tandes,Puskesmas Balongsari,LANSIA,12,382,394
21,April,Surabaya Barat,Tandes,Puskesmas Balongsari,P2M,3,45,48
22,April,Surabaya Barat,Tandes,Puskesmas Balongsari,PALIATIF,4,68,72
23,April,Surabaya Barat,Tandes,Puskesmas Balongsari,PSIKOLOGI,1,30,31
24,April,Surabaya Barat,Tandes,Puskesmas Balongsari,RAWAT INAP,0,1,1
25,April,Surabaya Barat,Tandes,Puskesmas Balongsari,UMUM,176,1017,1193
26,April,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,BATRA,1,21,22
27,April,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,GIGI,26,241,267
28,April,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,GIZI,13,35,48
29,April,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,HAMIL,2,54,56
30,April,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,KIA,47,311,358
31,April,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,LANSIA,3,189,192
32,April,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,PSIKOLOGI,8,29,37
33,April,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,UMUM,68,758,826
34,April,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,BATRA,2,25,27
