_id,Periode,Wilayah,Kecamatan,Nama Puskesmas,Poli,Baru,Lama,Total Kunjungan
71,April,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,UMUM,62,715,777
72,April,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,VCT,,,0
73,April,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,BATRA,1,3,4
74,April,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,GIGI,31,223,254
75,April,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,GIZI,,,0
76,April,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,INSTALASI GAWAT DARURAT,1,4,5
77,April,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,KIA,81,455,536
78,April,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,LABORATORIUM,,,0
79,April,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,LANSIA,1,56,57
80,April,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,MATA,,,0
81,April,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,PKPR,51,37,88
82,April,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,Poli PCR-SWAB,,,0
83,April,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,PSIKOLOGI,1,3,4
84,April,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,PTRM,,,0
85,April,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,RAWAT INAP,0,6,6
86,April,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,SANITASI,,,0
87,April,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,STD,,,0
88,April,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,TBC/PARU,37,269,306
89,April,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,UMUM,285,1853,2138
90,April,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,VCT,,,0
91,April,Surabaya Barat,Pakal,Puskesmas Benowo,BATRA,0,1,1
92,April,Surabaya Barat,Pakal,Puskesmas Benowo,GIGI,35,317,352
93,April,Surabaya Barat,Pakal,Puskesmas Benowo,GIZI,2,22,24
94,April,Surabaya Barat,Pakal,Puskesmas Benowo,INSTALASI GAWAT DARURAT,,,0
95,April,Surabaya Barat,Pakal,Puskesmas Benowo,KIA,102,657,759
96,April,Surabaya Barat,Pakal,Puskesmas Benowo,LABORATORIUM,,,0
97,April,Surabaya Barat,Pakal,Puskesmas Benowo,LANSIA,18,431,449
98,April,Surabaya Barat,Pakal,Puskesmas Benowo,MATA,,,0
99,April,Surabaya Barat,Pakal,Puskesmas Benowo,PKPR,,,0
100,April,Surabaya Barat,Pakal,Puskesmas Benowo,Poli PCR-SWAB,,,0
101,April,Surabaya Barat,Pakal,Puskesmas Benowo,PSIKOLOGI,1,7,8
102,April,Surabaya Barat,Pakal,Puskesmas Benowo,PTRM,,,0
103,April,Surabaya Barat,Pakal,Puskesmas Benowo,RAWAT INAP,,,0
104,April,Surabaya Barat,Pakal,Puskesmas Benowo,SANITASI,,,0
105,April,Surabaya Barat,Pakal,Puskesmas Benowo,STD,,,0
106,April,Surabaya Barat,Pakal,Puskesmas Benowo,TBC/PARU,,,0
107,April,Surabaya Barat,Pakal,Puskesmas Benowo,UMUM,142,1418,1560
108,April,Surabaya Barat,Pakal,Puskesmas Benowo,VCT,,,0
109,April,Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,BATRA,1,13,14
110,April,Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,GIGI,48,216,264
111,April,Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,GIZI,6,19,25
112,April,Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,INSTALASI GAWAT DARURAT,,,0
113,April,Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,KIA,101,360,461
114,April,Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,LABORATORIUM,,,0
115,April,Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,LANSIA,6,146,152
116,April,Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,MATA,,,0
117,April,Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,PKPR,,,0
118,April,Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,Poli PCR-SWAB,,,0
119,April,Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,PSIKOLOGI,0,7,7
120,April,Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,PTRM,,,0
121,April,Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,RAWAT INAP,,,0
122,April,Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,SANITASI,,,0
123,April,Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,STD,,,0
124,April,Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,TBC/PARU,,,0
125,April,Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,UMUM,153,869,1022
