_id,Periode,Wilayah,Kecamatan,Nama Puskesmas,Poli,Baru,Lama,Total Kunjungan
1,Juli,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,BATRA,3,22,25
2,Juli,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,GIGI,83,395,478
3,Juli,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,GIZI,2,7,9
4,Juli,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,KIA,164,715,879
5,Juli,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,LANSIA,13,355,368
6,Juli,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,PSIKOLOGI,2,12,14
7,Juli,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,SANITASI,1,7,8
8,Juli,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,UMUM,256,1845,2101
9,Juli,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,BATRA,2,44,46
10,Juli,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,GIGI,60,327,387
11,Juli,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,GIZI,1,14,15
12,Juli,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,INSTALASI GAWAT DARURAT,1,0,1
13,Juli,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,KIA,73,363,436
14,Juli,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,LANSIA,17,315,332
15,Juli,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,PSIKOLOGI,6,25,31
16,Juli,Surabaya Barat,Wiyung,Puskesmas Balas Klumprik,UMUM,190,833,1023
17,Juli,Surabaya Barat,Tandes,Puskesmas Balongsari,BATRA,0,41,41
18,Juli,Surabaya Barat,Tandes,Puskesmas Balongsari,GIGI,53,442,495
19,Juli,Surabaya Barat,Tandes,Puskesmas Balongsari,GIZI,0,7,7
20,Juli,Surabaya Barat,Tandes,Puskesmas Balongsari,INSTALASI GAWAT DARURAT,11,5,16
21,Juli,Surabaya Barat,Tandes,Puskesmas Balongsari,KIA,131,697,828
22,Juli,Surabaya Barat,Tandes,Puskesmas Balongsari,LANSIA,7,528,535
23,Juli,Surabaya Barat,Tandes,Puskesmas Balongsari,P2M,2,55,57
24,Juli,Surabaya Barat,Tandes,Puskesmas Balongsari,PALIATIF,4,49,53
25,Juli,Surabaya Barat,Tandes,Puskesmas Balongsari,PSIKOLOGI,3,15,18
26,Juli,Surabaya Barat,Tandes,Puskesmas Balongsari,RAWAT INAP,2,2,4
27,Juli,Surabaya Barat,Tandes,Puskesmas Balongsari,UMUM,255,1251,1506
28,Juli,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,BATRA,1,33,34
29,Juli,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,GIGI,36,337,373
30,Juli,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,GIZI,2,16,18
31,Juli,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,HAMIL,4,63,67
32,Juli,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,KIA,73,414,487
33,Juli,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,LANSIA,4,194,198
34,Juli,Surabaya Selatan,Lakarsantri,Puskesmas Bangkingan,PSIKOLOGI,11,36,47
35,Juli,Surabaya Selatan,Lakarsantri,Puskesmas Bangkingan,UMUM,115,980,1095
36,Juli,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,BATRA,3,29,32
37,Juli,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,GIGI,53,403,456
38,Juli,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,GIZI,1,1,2
39,Juli,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,INSTALASI GAWAT DARURAT,42,125,167
40,Juli,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,KIA,111,798,909
41,Juli,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,LANSIA,25,748,773
42,Juli,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,PARU,12,157,169
43,Juli,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,PKPR,40,39,79
44,Juli,Surabaya Barat,Sawahan,Puskesmas Banyu Urip,PSIKOLOGI,1,18,19
45,Juli,Surabaya Barat,Sawahan,Puskesmas Banyu Urip,RAWAT INAP,2,16,18
46,Juli,Surabaya Barat,Sawahan,Puskesmas Banyu Urip,UMUM,295,2670,2965
47,Juli,Surabaya Barat,Pakal,Puskesmas Benowo,BATRA,0,6,6
48,Juli,Surabaya Barat,Pakal,Puskesmas Benowo,GIGI,97,731,828
49,Juli,Surabaya Barat,Pakal,Puskesmas Benowo,GIZI,20,60,80
50,Juli,Surabaya Barat,Pakal,Puskesmas Benowo,KIA,164,1038,1202
51,Juli,Surabaya Barat,Pakal,Puskesmas Benowo,LANSIA,29,765,794
52,Juli,Surabaya Barat,Pakal,Puskesmas Benowo,PSIKOLOGI,1,13,14
53,Juli,Surabaya Barat,Pakal,Puskesmas Benowo,RAWAT INAP,1,0,1
54,Juli,Surabaya Barat,Pakal,Puskesmas Benowo,UMUM,373,2319,2692
55,Juli,Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,BATRA,5,50,55
56,Juli,Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,GIGI,68,598,666
