_id,Periode,Wilayah,Kecamatan,Nama Puskesmas,Poli,Baru,Lama,Total Kunjungan
1,Januari,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,BATRA,0,2,2
2,Januari,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,GIGI,40,158,198
3,Januari,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,GIZI,0,1,1
4,Januari,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,INSTALASI GAWAT DARURAT,,,0
5,Januari,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,KIA,151,444,595
6,Januari,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,LABORATORIUM,,,0
7,Januari,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,LANSIA,,,0
8,Januari,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,MATA,,,0
9,Januari,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,PKPR,,,0
10,Januari,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,Poli PCR-SWAB,,,0
11,Januari,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,PSIKOLOGI,1,7,8
12,Januari,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,PTRM,,,0
13,Januari,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,RAWAT INAP,,,0
14,Januari,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,SANITASI,,,0
15,Januari,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,STD,,,0
16,Januari,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,TBC/PARU,,,0
17,Januari,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,UMUM,200,1626,1826
18,Januari,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,VCT,,,0
19,Januari,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,BATRA,1,9,10
20,Januari,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,GIGI,21,136,157
21,Januari,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,GIZI,0,3,3
22,Januari,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,INSTALASI GAWAT DARURAT,,,0
23,Januari,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,KIA,42,183,225
24,Januari,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,LABORATORIUM,,,0
25,Januari,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,LANSIA,12,201,213
26,Januari,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,MATA,,,0
27,Januari,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,PKPR,,,0
28,Januari,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,Poli PCR-SWAB,,,0
29,Januari,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,PSIKOLOGI,1,1,2
30,Januari,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,PTRM,,,0
31,Januari,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,RAWAT INAP,,,0
32,Januari,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,SANITASI,,,0
33,Januari,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,STD,,,0
34,Januari,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,TBC/PARU,,,0
35,Januari,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,UMUM,107,558,665
36,Januari,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,VCT,,,0
37,Januari,Surabaya Barat,Tandes,Puskesmas Balongsari,BATRA,0,33,33
38,Januari,Surabaya Barat,Tandes,Puskesmas Balongsari,GIGI,35,231,266
39,Januari,Surabaya Barat,Tandes,Puskesmas Balongsari,GIZI,1,0,1
40,Januari,Surabaya Barat,Tandes,Puskesmas Balongsari,INSTALASI GAWAT DARURAT,7,4,11
41,Januari,Surabaya Barat,Tandes,Puskesmas Balongsari,KIA,100,416,516
42,Januari,Surabaya Barat,Tandes,Puskesmas Balongsari,LABORATORIUM,,,0
43,Januari,Surabaya Barat,Tandes,Puskesmas Balongsari,LANSIA,16,547,563
44,Januari,Surabaya Barat,Tandes,Puskesmas Balongsari,MATA,,,0
45,Januari,Surabaya Barat,Tandes,Puskesmas Balongsari,PKPR,,,0
46,Januari,Surabaya Barat,Tandes,Puskesmas Balongsari,Poli PCR-SWAB,,,0
47,Januari,Surabaya Barat,Tandes,Puskesmas Balongsari,PSIKOLOGI,3,3,6
48,Januari,Surabaya Barat,Tandes,Puskesmas Balongsari,PTRM,,,0
49,Januari,Surabaya Barat,Tandes,Puskesmas Balongsari,RAWAT INAP,1,5,6
50,Januari,Surabaya Barat,Tandes,Puskesmas Balongsari,SANITASI,,,0
51,Januari,Surabaya Barat,Tandes,Puskesmas Balongsari,STD,,,0
52,Januari,Surabaya Barat,Tandes,Puskesmas Balongsari,TBC/PARU,5,46,51
