_id,Periode,Wilayah,Kecamatan,Nama Puskesmas,Poli,Baru,Lama,Total Kunjungan
87,Februari,Surabaya Utara,Krembangan,Puskesmas Dupak,LANSIA,9,473,482
88,Februari,Surabaya Utara,Krembangan,Puskesmas Dupak,PSIKOLOGI,5,29,34
89,Februari,Surabaya Utara,Krembangan,Puskesmas Dupak,RAWAT INAP,18,13,31
90,Februari,Surabaya Utara,Krembangan,Puskesmas Dupak,UMUM,174,1773,1947
91,Februari,Surabaya Timur,Tambaksari,Puskesmas Gading,BATRA,4,47,51
92,Februari,Surabaya Timur,Tambaksari,Puskesmas Gading,GIGI,61,358,419
93,Februari,Surabaya Timur,Tambaksari,Puskesmas Gading,GIZI,48,69,117
94,Februari,Surabaya Timur,Tambaksari,Puskesmas Gading,KIA,191,863,1054
95,Februari,Surabaya Timur,Tambaksari,Puskesmas Gading,LANSIA,33,745,778
96,Februari,Surabaya Timur,Tambaksari,Puskesmas Gading,PARU,3,143,146
97,Februari,Surabaya Timur,Tambaksari,Puskesmas Gading,PSIKOLOGI,3,15,18
98,Februari,Surabaya Timur,Tambaksari,Puskesmas Gading,UMUM,306,2131,2437
99,Februari,Surabaya Selatan,Gayungan,Puskesmas Gayungan,BATRA,7,48,55
100,Februari,Surabaya Selatan,Gayungan,Puskesmas Gayungan,GIGI,75,630,705
101,Februari,Surabaya Selatan,Gayungan,Puskesmas Gayungan,GIZI,13,77,90
102,Februari,Surabaya Selatan,Gayungan,Puskesmas Gayungan,INSTALASI GAWAT DARURAT,0,3,3
103,Februari,Surabaya Selatan,Gayungan,Puskesmas Gayungan,KIA,126,564,690
104,Februari,Surabaya Selatan,Gayungan,Puskesmas Gayungan,LANSIA,18,758,776
105,Februari,Surabaya Selatan,Gayungan,Puskesmas Gayungan,PSIKOLOGI,3,28,31
106,Februari,Surabaya Selatan,Gayungan,Puskesmas Gayungan,UMUM,330,1574,1904
107,Februari,Surabaya Pusat,Bubutan,Puskesmas Gundih,BATRA,0,3,3
108,Februari,Surabaya Pusat,Bubutan,Puskesmas Gundih,GIGI,7,279,286
109,Februari,Surabaya Pusat,Bubutan,Puskesmas Gundih,GIZI,3,35,38
110,Februari,Surabaya Pusat,Bubutan,Puskesmas Gundih,KIA,56,630,686
111,Februari,Surabaya Pusat,Bubutan,Puskesmas Gundih,LANSIA,2,455,457
112,Februari,Surabaya Pusat,Bubutan,Puskesmas Gundih,PARU,0,88,88
113,Februari,Surabaya Pusat,Bubutan,Puskesmas Gundih,PSIKOLOGI,1,36,37
114,Februari,Surabaya Pusat,Bubutan,Puskesmas Gundih,UMUM,69,1611,1680
115,Februari,Surabaya Timur,Gunung Anyar,Puskesmas Gunung Anyar,BATRA,3,25,28
116,Februari,Surabaya Timur,Gunung Anyar,Puskesmas Gunung Anyar,GIGI,92,249,341
117,Februari,Surabaya Timur,Gunung Anyar,Puskesmas Gunung Anyar,GIZI,11,31,42
118,Februari,Surabaya Timur,Gunung Anyar,Puskesmas Gunung Anyar,KIA,182,537,719
119,Februari,Surabaya Timur,Gunung Anyar,Puskesmas Gunung Anyar,LANSIA,24,499,523
120,Februari,Surabaya Timur,Gunung Anyar,Puskesmas Gunung Anyar,PKPR,19,30,49
121,Februari,Surabaya Timur,Gunung Anyar,Puskesmas Gunung Anyar,PSIKOLOGI,21,46,67
122,Februari,Surabaya Timur,Gunung Anyar,Puskesmas Gunung Anyar,UMUM,349,1500,1849
123,Februari,Surabaya Selatan,Wonokromo,Puskesmas Jagir,BATRA,1,39,40
124,Februari,Surabaya Selatan,Wonokromo,Puskesmas Jagir,GIGI,116,644,760
