_id,Bulan,Wilayah,Kecamatan,Nama Puskesmas,Poli,Baru,Lama,Total
66,Desember,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,KIA,127,581,708
67,Desember,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,LANSIA,28,594,622
68,Desember,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,PSIKOLOGI,27,17,44
69,Desember,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,UMUM,416,2055,2471
70,Desember,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,VAKSIN D1,55,11,66
71,Desember,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,ANAK,131,557,688
72,Desember,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,BATRA,1,43,44
73,Desember,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,GIGI,64,485,549
74,Desember,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,INSTALASI GAWAT DARURAT,139,127,266
75,Desember,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,KIA,64,327,391
76,Desember,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,LANSIA,47,913,960
77,Desember,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,PARU,0,23,23
78,Desember,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,PKPR,41,36,77
79,Desember,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,PSIKOLOGI,3,25,28
80,Desember,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,RAWAT INAP,3,39,42
81,Desember,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,UMUM,858,3072,3930
82,Desember,Surabaya Utara,Krembangan,Puskesmas Dupak,BATRA,2,46,48
83,Desember,Surabaya Utara,Krembangan,Puskesmas Dupak,GIGI,31,354,385
84,Desember,Surabaya Utara,Krembangan,Puskesmas Dupak,GIZI,1,40,41
85,Desember,Surabaya Utara,Krembangan,Puskesmas Dupak,INSTALASI GAWAT DARURAT,59,74,133
86,Desember,Surabaya Utara,Krembangan,Puskesmas Dupak,KIA,118,747,865
87,Desember,Surabaya Utara,Krembangan,Puskesmas Dupak,LANSIA,10,555,565
88,Desember,Surabaya Utara,Krembangan,Puskesmas Dupak,PSIKOLOGI,2,18,20
89,Desember,Surabaya Utara,Krembangan,Puskesmas Dupak,RAWAT INAP,17,20,37
90,Desember,Surabaya Utara,Krembangan,Puskesmas Dupak,UMUM,194,2435,2629
91,Desember,Surabaya Timur,Tambaksari,Puskesmas Gading,ANAK,146,709,855
92,Desember,Surabaya Timur,Tambaksari,Puskesmas Gading,BATRA,3,76,79
93,Desember,Surabaya Timur,Tambaksari,Puskesmas Gading,DEGENARATIF,1,133,134
94,Desember,Surabaya Timur,Tambaksari,Puskesmas Gading,GIGI,83,573,656
95,Desember,Surabaya Timur,Tambaksari,Puskesmas Gading,GIZI,48,75,123
96,Desember,Surabaya Timur,Tambaksari,Puskesmas Gading,INSTALASI GAWAT DARURAT,2,1,3
97,Desember,Surabaya Timur,Tambaksari,Puskesmas Gading,KIA,47,499,546
98,Desember,Surabaya Timur,Tambaksari,Puskesmas Gading,LANSIA,36,761,797
99,Desember,Surabaya Timur,Tambaksari,Puskesmas Gading,PARU,3,152,155
100,Desember,Surabaya Timur,Tambaksari,Puskesmas Gading,PSIKOLOGI,2,30,32
101,Desember,Surabaya Timur,Tambaksari,Puskesmas Gading,UMUM,1032,4236,5268
102,Desember,Surabaya Timur,Tambaksari,Puskesmas Gading,VAKSIN D1,0,2,2
103,Desember,Surabaya Selatan,Gayungan,Puskesmas Gayungan,BATRA,1,133,134
104,Desember,Surabaya Selatan,Gayungan,Puskesmas Gayungan,GIGI,39,732,771
105,Desember,Surabaya Selatan,Gayungan,Puskesmas Gayungan,GIZI,4,48,52
106,Desember,Surabaya Selatan,Gayungan,Puskesmas Gayungan,KIA,106,772,878
107,Desember,Surabaya Selatan,Gayungan,Puskesmas Gayungan,LANSIA,27,981,1008
108,Desember,Surabaya Selatan,Gayungan,Puskesmas Gayungan,PSIKOLOGI,3,31,34
109,Desember,Surabaya Selatan,Gayungan,Puskesmas Gayungan,UMUM,524,2631,3155
110,Desember,Surabaya Pusat,Bubutan,Puskesmas Gundih,BATRA,0,11,11
111,Desember,Surabaya Pusat,Bubutan,Puskesmas Gundih,GIGI,11,357,368
112,Desember,Surabaya Pusat,Bubutan,Puskesmas Gundih,GIZI,0,9,9
113,Desember,Surabaya Pusat,Bubutan,Puskesmas Gundih,KIA,63,760,823
114,Desember,Surabaya Pusat,Bubutan,Puskesmas Gundih,LANSIA,7,513,520
115,Desember,Surabaya Pusat,Bubutan,Puskesmas Gundih,PARU,0,110,110
116,Desember,Surabaya Pusat,Bubutan,Puskesmas Gundih,PSIKOLOGI,0,12,12
117,Desember,Surabaya Pusat,Bubutan,Puskesmas Gundih,UMUM,124,2738,2862
118,Desember,Surabaya Timur,Gunung Anyar,Puskesmas Gunung Anyar,BATRA,2,53,55
119,Desember,Surabaya Timur,Gunung Anyar,Puskesmas Gunung Anyar,GIGI,52,395,447
120,Desember,Surabaya Timur,Gunung Anyar,Puskesmas Gunung Anyar,GIZI,9,10,19
121,Desember,Surabaya Timur,Gunung Anyar,Puskesmas Gunung Anyar,INSTALASI GAWAT DARURAT,13,10,23
122,Desember,Surabaya Timur,Gunung Anyar,Puskesmas Gunung Anyar,KIA,127,594,721
123,Desember,Surabaya Timur,Gunung Anyar,Puskesmas Gunung Anyar,LANSIA,20,720,740
124,Desember,Surabaya Timur,Gunung Anyar,Puskesmas Gunung Anyar,PKPR,24,38,62
125,Desember,Surabaya Timur,Gunung Anyar,Puskesmas Gunung Anyar,PSIKOLOGI,14,33,47
126,Desember,Surabaya Timur,Gunung Anyar,Puskesmas Gunung Anyar,RAWAT INAP,1,1,2
127,Desember,Surabaya Timur,Gunung Anyar,Puskesmas Gunung Anyar,SANITASI,1,0,1
128,Desember,Surabaya Timur,Gunung Anyar,Puskesmas Gunung Anyar,UMUM,764,2709,3473
129,Desember,Surabaya Selatan,Wonokromo,Puskesmas Jagir,BATRA,1,50,51
130,Desember,Surabaya Selatan,Wonokromo,Puskesmas Jagir,GIGI,171,995,1166
131,Desember,Surabaya Selatan,Wonokromo,Puskesmas Jagir,GIZI,4,10,14
132,Desember,Surabaya Selatan,Wonokromo,Puskesmas Jagir,INSTALASI GAWAT DARURAT,40,31,71
133,Desember,Surabaya Selatan,Wonokromo,Puskesmas Jagir,KIA,230,1274,1504
134,Desember,Surabaya Selatan,Wonokromo,Puskesmas Jagir,LANSIA,33,1311,1344
135,Desember,Surabaya Selatan,Wonokromo,Puskesmas Jagir,PSIKOLOGI,6,23,29
136,Desember,Surabaya Selatan,Wonokromo,Puskesmas Jagir,RAWAT INAP,16,21,37
137,Desember,Surabaya Selatan,Wonokromo,Puskesmas Jagir,UMUM,662,3904,4566
138,Desember,Surabaya Selatan,Wonocolo,Puskesmas Jemursari,BATRA,0,40,40
139,Desember,Surabaya Selatan,Wonocolo,Puskesmas Jemursari,GIGI,38,285,323
