_id,Periode,Wilayah,Kecamatan,Nama Puskesmas,Poli,Baru,Lama,Total Kunjungan
70,September,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,TBC/PARU,,,0
71,September,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,UMUM,132,1073,1205
72,September,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,VCT,,,0
73,September,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,BATRA,1,8,9
74,September,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,GIGI,51,364,415
75,September,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,GIZI,,,0
76,September,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,INSTALASI GAWAT DARURAT,3,6,9
77,September,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,KIA,88,441,529
78,September,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,LABORATORIUM,,,0
79,September,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,LANSIA,,,0
80,September,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,MATA,,,0
81,September,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,PKPR,68,45,113
82,September,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,Poli PCR-SWAB,,,0
83,September,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,PSIKOLOGI,1,12,13
84,September,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,PTRM,,,0
85,September,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,RAWAT INAP,,,0
86,September,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,SANITASI,,,0
87,September,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,STD,,,0
88,September,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,TBC/PARU,4,192,196
89,September,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,UMUM,384,2769,3153
90,September,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,VCT,,,0
91,September,Surabaya Barat,Pakal,Puskesmas Benowo,BATRA,0,7,7
92,September,Surabaya Barat,Pakal,Puskesmas Benowo,GIGI,76,429,505
93,September,Surabaya Barat,Pakal,Puskesmas Benowo,GIZI,26,53,79
94,September,Surabaya Barat,Pakal,Puskesmas Benowo,INSTALASI GAWAT DARURAT,0,1,1
95,September,Surabaya Barat,Pakal,Puskesmas Benowo,KIA,199,887,1086
96,September,Surabaya Barat,Pakal,Puskesmas Benowo,LABORATORIUM,,,0
97,September,Surabaya Barat,Pakal,Puskesmas Benowo,LANSIA,16,626,642
98,September,Surabaya Barat,Pakal,Puskesmas Benowo,MATA,,,0
99,September,Surabaya Barat,Pakal,Puskesmas Benowo,PKPR,,,0
100,September,Surabaya Barat,Pakal,Puskesmas Benowo,Poli PCR-SWAB,,,0
101,September,Surabaya Barat,Pakal,Puskesmas Benowo,PSIKOLOGI,2,8,10
102,September,Surabaya Barat,Pakal,Puskesmas Benowo,PTRM,,,0
103,September,Surabaya Barat,Pakal,Puskesmas Benowo,RAWAT INAP,,,0
104,September,Surabaya Barat,Pakal,Puskesmas Benowo,SANITASI,,,0
105,September,Surabaya Barat,Pakal,Puskesmas Benowo,STD,,,0
106,September,Surabaya Barat,Pakal,Puskesmas Benowo,TBC/PARU,,,0
107,September,Surabaya Barat,Pakal,Puskesmas Benowo,UMUM,261,1918,2179
108,September,Surabaya Barat,Pakal,Puskesmas Benowo,VCT,,,0
109,September,Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,BATRA,,,0
110,September,Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,GIGI,64,407,471
111,September,Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,GIZI,0,7,7
112,September,Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,INSTALASI GAWAT DARURAT,,,0
113,September,Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,KIA,152,544,696
114,September,Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,LABORATORIUM,,,0
115,September,Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,LANSIA,10,254,264
116,September,Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,MATA,,,0
117,September,Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,PKPR,,,0
118,September,Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,Poli PCR-SWAB,,,0
119,September,Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,PSIKOLOGI,0,8,8
120,September,Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,PTRM,,,0
121,September,Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,RAWAT INAP,,,0
122,September,Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,SANITASI,,,0
123,September,Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,STD,,,0
124,September,Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,TBC/PARU,,,0
125,September,Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,UMUM,266,1440,1706
126,September,Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,VCT,,,0
127,September,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,BATRA,6,9,15
128,September,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,GIGI,36,168,204
129,September,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,GIZI,,,0
130,September,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,INSTALASI GAWAT DARURAT,1,5,6
131,September,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,KIA,144,642,786
132,September,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,LABORATORIUM,,,0
133,September,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,LANSIA,23,507,530
134,September,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,MATA,,,0
135,September,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,PKPR,,,0
136,September,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,Poli PCR-SWAB,,,0
137,September,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,PSIKOLOGI,0,4,4
138,September,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,PTRM,,,0
139,September,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,RAWAT INAP,,,0
140,September,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,SANITASI,,,0
141,September,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,STD,,,0
142,September,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,TBC/PARU,,,0
143,September,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,UMUM,499,1410,1909
144,September,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,VCT,,,0
145,September,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,BATRA,2,37,39
146,September,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,GIGI,57,405,462
147,September,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,GIZI,0,4,4
148,September,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,INSTALASI GAWAT DARURAT,41,21,62
149,September,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,KIA,249,703,952
150,September,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,LABORATORIUM,13,15,28
151,September,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,LANSIA,42,749,791
152,September,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,MATA,,,0
153,September,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,PKPR,,,0
154,September,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,Poli PCR-SWAB,,,0
155,September,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,PSIKOLOGI,4,20,24
156,September,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,PTRM,,,0
157,September,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,RAWAT INAP,7,49,56
158,September,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,SANITASI,,,0
159,September,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,STD,,,0
