_id,Periode,Wilayah,Kecamatan,Nama Puskesmas,Poli,Baru,Lama,Total
65,Agustus,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,GIGI,43,240,283
66,Agustus,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,GIZI,2,8,10
67,Agustus,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,INSTALASI GAWAT DARURAT,2,0,2
68,Agustus,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,KIA,165,712,877
69,Agustus,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,LANSIA,26,568,594
70,Agustus,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,PSIKOLOGI,14,13,27
71,Agustus,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,UMUM,284,1952,2236
72,Agustus,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,ANAK,147,637,784
73,Agustus,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,BATRA,0,44,44
74,Agustus,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,GIGI,72,551,623
75,Agustus,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,GIZI,0,1,1
76,Agustus,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,INSTALASI GAWAT DARURAT,56,58,114
77,Agustus,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,KIA,73,373,446
78,Agustus,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,LANSIA,45,866,911
79,Agustus,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,PARU,0,48,48
80,Agustus,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,PKPR,72,64,136
81,Agustus,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,PSIKOLOGI,7,22,29
82,Agustus,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,RAWAT INAP,4,37,41
83,Agustus,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,UMUM,588,2422,3010
84,Agustus,Surabaya Utara,Krembangan,Puskesmas Dupak,BATRA,2,30,32
85,Agustus,Surabaya Utara,Krembangan,Puskesmas Dupak,GIGI,24,351,375
86,Agustus,Surabaya Utara,Krembangan,Puskesmas Dupak,GIZI,2,27,29
87,Agustus,Surabaya Utara,Krembangan,Puskesmas Dupak,INSTALASI GAWAT DARURAT,34,77,111
88,Agustus,Surabaya Utara,Krembangan,Puskesmas Dupak,KIA,132,906,1038
89,Agustus,Surabaya Utara,Krembangan,Puskesmas Dupak,LANSIA,16,565,581
90,Agustus,Surabaya Utara,Krembangan,Puskesmas Dupak,PSIKOLOGI,0,8,8
91,Agustus,Surabaya Utara,Krembangan,Puskesmas Dupak,RAWAT INAP,28,29,57
92,Agustus,Surabaya Utara,Krembangan,Puskesmas Dupak,UMUM,160,1973,2133
93,Agustus,Surabaya Timur,Tambaksari,Puskesmas Gading,ANAK,216,844,1060
