_id,Periode,Wilayah,Kecamatan,Nama Puskesmas,Poli,Baru,Lama,Total Kunjungan
66,Mei,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,PSIKOLOGI,31,31,62
67,Mei,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,UMUM,181,1782,1963
68,Mei,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,VAKSIN D1,112,509,621
69,Mei,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,ANAK,0,16,16
70,Mei,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,BATRA,53,421,474
71,Mei,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,GIGI,45,99,144
72,Mei,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,INSTALASI GAWAT DARURAT,44,335,379
73,Mei,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,KIA,39,927,966
74,Mei,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,LANSIA,0,41,41
75,Mei,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,PARU,60,38,98
76,Mei,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,PKPR,4,14,18
77,Mei,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,PSIKOLOGI,2,27,29
78,Mei,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,RAWAT INAP,436,2147,2583
79,Mei,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,UMUM,2,11,13
80,Mei,Surabaya Selatan,Dukuh Pakis,Puskesmas Dupak,BATRA,18,290,308
81,Mei,Surabaya Selatan,Dukuh Pakis,Puskesmas Dupak,GIGI,3,21,24
82,Mei,Surabaya Selatan,Dukuh Pakis,Puskesmas Dupak,GIZI,44,63,107
83,Mei,Surabaya Selatan,Dukuh Pakis,Puskesmas Dupak,INSTALASI GAWAT DARURAT,93,638,731
84,Mei,Surabaya Selatan,Dukuh Pakis,Puskesmas Dupak,KIA,7,514,521
85,Mei,Surabaya Selatan,Dukuh Pakis,Puskesmas Dupak,LANSIA,0,6,6
86,Mei,Surabaya Selatan,Dukuh Pakis,Puskesmas Dupak,PSIKOLOGI,14,17,31
87,Mei,Surabaya Selatan,Dukuh Pakis,Puskesmas Dupak,RAWAT INAP,1,3,4
88,Mei,Surabaya Selatan,Dukuh Pakis,Puskesmas Dupak,UMUM,124,1879,2003
89,Mei,Surabaya Timur,Tambaksari,Puskesmas Gading,ANAK,112,591,703
90,Mei,Surabaya Timur,Tambaksari,Puskesmas Gading,BATRA,2,37,39
91,Mei,Surabaya Timur,Tambaksari,Puskesmas Gading,DEGENARATIF,0,124,124
92,Mei,Surabaya Timur,Tambaksari,Puskesmas Gading,GIGI,53,556,609
93,Mei,Surabaya Timur,Tambaksari,Puskesmas Gading,GIZI,81,108,189
94,Mei,Surabaya Timur,Tambaksari,Puskesmas Gading,KIA,50,451,501
95,Mei,Surabaya Timur,Tambaksari,Puskesmas Gading,LANSIA,41,816,857
96,Mei,Surabaya Timur,Tambaksari,Puskesmas Gading,PARU,4,160,164
97,Mei,Surabaya Timur,Tambaksari,Puskesmas Gading,PSIKOLOGI,1,11,12
98,Mei,Surabaya Timur,Tambaksari,Puskesmas Gading,RAWAT INAP,243,2381,2624
99,Mei,Surabaya Timur,Tambaksari,Puskesmas Gading,UMUM,0,0,0
100,Mei,Surabaya Timur,Tambaksari,Puskesmas Gading,VAKSIN D1,2,58,60
101,Mei,Surabaya Selatan,Gayungan,Puskesmas Gayungan,BATRA,41,592,633
102,Mei,Surabaya Selatan,Gayungan,Puskesmas Gayungan,GIGI,3,25,28
103,Mei,Surabaya Selatan,Gayungan,Puskesmas Gayungan,GIZI,0,1,1
104,Mei,Surabaya Selatan,Gayungan,Puskesmas Gayungan,INSTALASI GAWAT DARURAT,92,597,689
105,Mei,Surabaya Selatan,Gayungan,Puskesmas Gayungan,KIA,17,815,832
106,Mei,Surabaya Selatan,Gayungan,Puskesmas Gayungan,LANSIA,0,7,7
107,Mei,Surabaya Selatan,Gayungan,Puskesmas Gayungan,PARU,1,38,39
108,Mei,Surabaya Selatan,Gayungan,Puskesmas Gayungan,PSIKOLOGI,247,1993,2240
109,Mei,Surabaya Selatan,Gayungan,Puskesmas Gayungan,RAWAT INAP,0,2,2
110,Mei,Surabaya Selatan,Gayungan,Puskesmas Gayungan,UMUM,8,310,318
111,Mei,Surabaya Pusat,Bubutan,Puskesmas Gundih,BATRA,34,603,637
112,Mei,Surabaya Pusat,Bubutan,Puskesmas Gundih,GIGI,5,479,484
113,Mei,Surabaya Pusat,Bubutan,Puskesmas Gundih,GIZI,0,74,74
114,Mei,Surabaya Pusat,Bubutan,Puskesmas Gundih,KIA,1,9,10
115,Mei,Surabaya Pusat,Bubutan,Puskesmas Gundih,LANSIA,58,1861,1919
116,Mei,Surabaya Pusat,Bubutan,Puskesmas Gundih,PARU,0,23,23
117,Mei,Surabaya Pusat,Bubutan,Puskesmas Gundih,PSIKOLOGI,52,285,337
118,Mei,Surabaya Pusat,Bubutan,Puskesmas Gundih,UMUM,10,16,26
119,Mei,Surabaya Timur,Gunung Anyar,Puskesmas Gunung Anyar,BATRA,12,16,28
120,Mei,Surabaya Timur,Gunung Anyar,Puskesmas Gunung Anyar,GIGI,120,585,705
121,Mei,Surabaya Timur,Gunung Anyar,Puskesmas Gunung Anyar,GIZI,21,582,603
122,Mei,Surabaya Timur,Gunung Anyar,Puskesmas Gunung Anyar,INSTALASI GAWAT DARURAT,23,32,55
123,Mei,Surabaya Timur,Gunung Anyar,Puskesmas Gunung Anyar,KIA,12,37,49
124,Mei,Surabaya Timur,Gunung Anyar,Puskesmas Gunung Anyar,LANSIA,0,4,4
