_id,Periode,Wilayah,Kecamatan,Nama Puskesmas,Poli,Baru,Lama,Total Kunjungan
67,Juli,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,RAWAT INAP,,,0
68,Juli,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,SANITASI,2,8,10
69,Juli,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,STD,,,0
70,Juli,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,TBC/PARU,,,0
71,Juli,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,UMUM,137,769,906
72,Juli,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,VCT,,,0
73,Juli,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,BATRA,2,6,8
74,Juli,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,GIGI,50,285,335
75,Juli,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,GIZI,,,0
76,Juli,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,INSTALASI GAWAT DARURAT,1,1,2
77,Juli,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,KIA,124,843,967
78,Juli,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,LABORATORIUM,,,0
79,Juli,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,LANSIA,,,0
80,Juli,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,MATA,,,0
81,Juli,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,PKPR,35,36,71
82,Juli,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,Poli PCR-SWAB,,,0
83,Juli,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,PSIKOLOGI,3,17,20
84,Juli,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,PTRM,,,0
85,Juli,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,RAWAT INAP,,,0
86,Juli,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,SANITASI,,,0
87,Juli,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,STD,,,0
88,Juli,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,TBC/PARU,26,230,256
89,Juli,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,UMUM,331,2451,2782
90,Juli,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,VCT,,,0
91,Juli,Surabaya Barat,Pakal,Puskesmas Benowo,BATRA,1,8,9
92,Juli,Surabaya Barat,Pakal,Puskesmas Benowo,GIGI,93,515,608
93,Juli,Surabaya Barat,Pakal,Puskesmas Benowo,GIZI,34,50,84
94,Juli,Surabaya Barat,Pakal,Puskesmas Benowo,INSTALASI GAWAT DARURAT,,,0
