_id,Periode,Wilayah,Kecamatan,Nama Puskesmas,Poli,Baru,Lama,Total Kunjungan
70,November,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,TBC/PARU,,,0
71,November,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,UMUM,146,1249,1395
72,November,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,VCT,,,0
73,November,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,BATRA,1,14,15
74,November,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,GIGI,54,388,442
75,November,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,GIZI,,,0
76,November,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,INSTALASI GAWAT DARURAT,10,37,47
77,November,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,KIA,78,494,572
78,November,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,LABORATORIUM,,,0
79,November,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,LANSIA,,,0
80,November,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,MATA,,,0
81,November,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,PKPR,43,31,74
82,November,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,Poli PCR-SWAB,,,0
83,November,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,PSIKOLOGI,0,7,7
84,November,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,PTRM,,,0
85,November,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,RAWAT INAP,0,1,1
86,November,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,SANITASI,,,0
87,November,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,STD,,,0
88,November,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,TBC/PARU,,,0
89,November,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,UMUM,354,2934,3288
90,November,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,VCT,,,0
91,November,Surabaya Barat,Pakal,Puskesmas Benowo,BATRA,1,5,6
92,November,Surabaya Barat,Pakal,Puskesmas Benowo,GIGI,76,600,676
93,November,Surabaya Barat,Pakal,Puskesmas Benowo,GIZI,19,69,88
