_id,Periode,Wilayah,Kecamatan,Nama Puskesmas,Poli,Baru,Lama,Total Kunjungan
1,Maret,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,BATRA,0,14,14
2,Maret,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,GIGI,58,428,486
3,Maret,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,GIZI,0,1,1
4,Maret,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,INSTALASI GAWAT DARURAT,1,0,1
5,Maret,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,KIA,123,709,832
6,Maret,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,LANSIA,4,430,434
7,Maret,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,PSIKOLOGI,0,2,2
8,Maret,Surabaya Selatan,Wiyung,Puskesmas Asemrowo,UMUM,202,1998,2200
9,Maret,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,BATRA,1,14,15
10,Maret,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,GIGI,28,255,283
11,Maret,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,GIZI,1,6,7
12,Maret,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,KIA,51,331,382
13,Maret,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,LANSIA,9,286,295
14,Maret,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,PSIKOLOGI,1,5,6
15,Maret,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,UMUM,160,866,1026
16,Maret,Surabaya Barat,Tandes,Puskesmas Balongsari,BATRA,1,6,7
17,Maret,Surabaya Barat,Tandes,Puskesmas Balongsari,GIGI,22,390,412
18,Maret,Surabaya Barat,Tandes,Puskesmas Balongsari,GIZI,1,5,6
19,Maret,Surabaya Barat,Tandes,Puskesmas Balongsari,INSTALASI GAWAT DARURAT,19,18,37
20,Maret,Surabaya Barat,Tandes,Puskesmas Balongsari,KIA,115,746,861
