_id,Periode,Wilayah,Kecamatan,Nama Puskesmas,Poli,Baru,Lama,Total Kunjungan
67,Maret,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,GIZI,0,1,1
68,Maret,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,KIA,126,643,769
69,Maret,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,LANSIA,33,548,581
70,Maret,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,PSIKOLOGI,0,8,8
71,Maret,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,RAWAT INAP,1,0,1
72,Maret,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,UMUM,224,1500,1724
73,Maret,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,ANAK,129,464,593
74,Maret,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,BATRA,1,37,38
75,Maret,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,GIGI,79,443,522
76,Maret,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,GIZI,1,0,1
77,Maret,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,INSTALASI GAWAT DARURAT,29,30,59
78,Maret,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,KIA,83,387,470
79,Maret,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,LANSIA,47,866,913
80,Maret,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,PARU,0,68,68
81,Maret,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,PKPR,47,36,83
82,Maret,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,PSIKOLOGI,5,31,36
83,Maret,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,RAWAT INAP,5,15,20
84,Maret,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,UMUM,458,1965,2423
85,Maret,Surabaya Utara,Krembangan,Puskesmas Dupak,BATRA,1,58,59
86,Maret,Surabaya Utara,Krembangan,Puskesmas Dupak,GIGI,25,263,288
87,Maret,Surabaya Utara,Krembangan,Puskesmas Dupak,GIZI,3,9,12
88,Maret,Surabaya Utara,Krembangan,Puskesmas Dupak,INSTALASI GAWAT DARURAT,25,43,68
89,Maret,Surabaya Utara,Krembangan,Puskesmas Dupak,KIA,111,818,929
90,Maret,Surabaya Utara,Krembangan,Puskesmas Dupak,LANSIA,18,583,601
91,Maret,Surabaya Utara,Krembangan,Puskesmas Dupak,PSIKOLOGI,8,29,37
92,Maret,Surabaya Utara,Krembangan,Puskesmas Dupak,RAWAT INAP,21,34,55
93,Maret,Surabaya Utara,Krembangan,Puskesmas Dupak,SANITASI,0,3,3
94,Maret,Surabaya Utara,Krembangan,Puskesmas Dupak,UMUM,184,1926,2110
95,Maret,Surabaya Timur,Tambaksari,Puskesmas Gading,ANAK,95,337,432
96,Maret,Surabaya Timur,Tambaksari,Puskesmas Gading,BATRA,1,46,47
97,Maret,Surabaya Timur,Tambaksari,Puskesmas Gading,DEGENARATIF,0,45,45
98,Maret,Surabaya Timur,Tambaksari,Puskesmas Gading,GIGI,65,392,457
99,Maret,Surabaya Timur,Tambaksari,Puskesmas Gading,GIZI,55,76,131
100,Maret,Surabaya Timur,Tambaksari,Puskesmas Gading,KIA,104,688,792
101,Maret,Surabaya Timur,Tambaksari,Puskesmas Gading,LANSIA,42,725,767
102,Maret,Surabaya Timur,Tambaksari,Puskesmas Gading,PARU,3,131,134
103,Maret,Surabaya Timur,Tambaksari,Puskesmas Gading,PSIKOLOGI,2,22,24
104,Maret,Surabaya Timur,Tambaksari,Puskesmas Gading,UMUM,342,2200,2542
105,Maret,Surabaya Selatan,Gayungan,Puskesmas Gayungan,BATRA,2,58,60
106,Maret,Surabaya Selatan,Gayungan,Puskesmas Gayungan,GIGI,61,609,670
107,Maret,Surabaya Selatan,Gayungan,Puskesmas Gayungan,GIZI,5,38,43
108,Maret,Surabaya Selatan,Gayungan,Puskesmas Gayungan,KIA,117,643,760
109,Maret,Surabaya Selatan,Gayungan,Puskesmas Gayungan,LANSIA,26,822,848
110,Maret,Surabaya Selatan,Gayungan,Puskesmas Gayungan,PSIKOLOGI,2,23,25
111,Maret,Surabaya Selatan,Gayungan,Puskesmas Gayungan,UMUM,295,1698,1993
